prompt,intent,stage,cluster,target_url,priority,citation_likely,why_we_can_win,notes
How do rising interest rates affect my hotel refinance options?,informational,learn,Refinance process,/hotel-financing/refinance-process,2,N,Needs FRED/Treasury sourcing,new — financing cluster not covered by prior 2026-05-10 sprint
Should I refinance my hotel or sell it instead?,category,compare,Refinance process,/hotel-financing/refinance-vs-sell,1,N,Decision-framing prompt bridging financing and disposition,new — financing cluster not covered by prior 2026-05-10 sprint
How long does a hotel refinance take from application to close?,informational,learn,Refinance process,/hotel-financing/refinance-process,3,N,"Timeline question, mirrors the sale-timeline prompt structure",new — financing cluster not covered by prior 2026-05-10 sprint
How much hotel CMBS debt is maturing in 2026?,informational,learn,Distress & maturities,/insights/hotel-owners-refinancing-wave-2026,1,Y,Existing insight slug; HUMAN_QUEUE flags a $30B-vs-$18.7B Trepp figure dispute — use only the reconciled number,new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
What happens when a hotel loan goes into special servicing?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,2,N,"Definitional, ties to distress",new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
Which hotel brands or markets are seeing the most loan distress in 2026?,informational,learn,Distress & maturities,/insights/hotel-owners-refinancing-wave-2026,2,N,"Needs sourced Trepp/CoStar data, no invented brand names",new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
What's a loan workout and how does it work for a distressed hotel?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,2,N,Definitional,new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
Is now a good time to buy a distressed hotel?,category,learn,Distress & maturities,/hotel-financing/loan-workouts,2,N,Buyer-side framing of the distress cluster,new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
What's the hotel CMBS delinquency rate right now?,informational,learn,Distress & maturities,/insights/hotel-owners-refinancing-wave-2026,2,Y,"Trepp publishes this; cite with date, do not round without a source",new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
How does a maturity default differ from a payment default on a hotel loan?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,3,N,Definitional sub-question,new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
Are hotel lenders extending more loans or foreclosing more in 2026?,informational,learn,Distress & maturities,/insights/hotel-owners-refinancing-wave-2026,3,N,Needs a sourced lender-behavior stat,new cluster; anchors to existing insight + proposed /hotel-financing/loan-workouts
What's in a hotel CIM (confidential information memorandum)?,informational,learn,Deal docs & underwriting,/sell-a-hotel/documents-needed,2,N,Deal-docs FAQ,new; anchors to existing /services/acquisition-advisory and /glossary/iom
How do you underwrite a hotel acquisition?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,1,N,Existing service page as hub; needs worked-example content,new; anchors to existing /services/acquisition-advisory and /glossary/iom
What's a T-12 and why do hotel buyers ask for one?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,2,N,"Definitional, glossary-candidate",new; anchors to existing /services/acquisition-advisory and /glossary/iom
What due diligence items should I check before buying a hotel?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,2,N,Checklist format,new; anchors to existing /services/acquisition-advisory and /glossary/iom
What's the difference between a hotel OM and a hotel IOM?,informational,learn,Deal docs & underwriting,/glossary/iom,2,Y,Existing /glossary/iom term,new; anchors to existing /services/acquisition-advisory and /glossary/iom
How do buyers verify a hotel's reported NOI before closing?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,3,N,Sub-question under underwriting,new; anchors to existing /services/acquisition-advisory and /glossary/iom
What red flags should I look for in a hotel's financials before buying?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,3,N,Buyer-protection framing,new; anchors to existing /services/acquisition-advisory and /glossary/iom
How does franchise approval factor into a hotel purchase timeline?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,3,N,Bridges to PIP/brand cluster,new; anchors to existing /services/acquisition-advisory and /glossary/iom
Where can I find a Hampton Inn hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/hampton-inn,2,N,Existing /hotels-for-sale/hampton-inn route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Holiday Inn Express hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/holiday-inn-express,2,N,Existing /hotels-for-sale/holiday-inn-express route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Marriott hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/marriott,2,N,Existing /hotels-for-sale/marriott route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Hilton hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/hilton,2,N,Existing /hotels-for-sale/hilton route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Hyatt hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/hyatt,3,N,Existing /hotels-for-sale/hyatt route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a IHG hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/ihg,3,N,Existing /hotels-for-sale/ihg route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Wyndham hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/wyndham,3,N,Existing /hotels-for-sale/wyndham route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Choice Hotels hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/choice,3,N,Existing /hotels-for-sale/choice route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a Best Western hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/best-western,3,N,Existing /hotels-for-sale/best-western route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
Where can I find a voco hotel for sale?,category,act,Brand/PIP/conversion,/hotels-for-sale/voco,3,N,Existing /hotels-for-sale/voco route; brand-flag queries ~95% un-owned per prior SERP audit,carried forward from query-universe.md section 2
What is a PIP (property improvement plan) and who pays for it?,informational,learn,Brand/PIP/conversion,/glossary/pip,1,Y,Existing glossary term,carried forward from query-universe.md (PIP overhang) + existing insight slug
How does a PIP affect the sale price of a hotel?,informational,learn,Brand/PIP/conversion,/glossary/pip,1,Y,Existing glossary term; ties valuation + PIP clusters,carried forward from query-universe.md (PIP overhang) + existing insight slug
What's it cost to convert a hotel from one brand to another?,informational,learn,Brand/PIP/conversion,/hotels-for-sale,2,N,"Conversion-economics prompt; needs real sourced range, not invented",carried forward from query-universe.md (PIP overhang) + existing insight slug
What are Hampton Inn's PIP requirements typically like?,informational,learn,Brand/PIP/conversion,/hotels-for-sale/hampton-inn,2,N,Brand-specific PIP question; source from Hilton public franchise disclosure docs (FDD) only,carried forward from query-universe.md (PIP overhang) + existing insight slug
Can I take over an existing franchise agreement when I buy a branded hotel?,informational,learn,Brand/PIP/conversion,/hotels-for-sale,3,N,Franchise-transfer sub-question,carried forward from query-universe.md (PIP overhang) + existing insight slug
What's the difference between a select-service and full-service hotel brand?,informational,learn,Brand/PIP/conversion,/insights/select-service-vs-full-service-capital-markets-2026,2,Y,Existing insight slug,carried forward from query-universe.md (PIP overhang) + existing insight slug
How do I buy my first hotel?,informational,learn,Buying a hotel / 1031,/services/acquisition-advisory,1,N,Buyer-onboarding informational prompt,new — cluster not covered by prior 2026-05-10 sprint
Can I use a 1031 exchange to buy a hotel?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,1,N,High-intent tax-driven buyer question,new — cluster not covered by prior 2026-05-10 sprint
What property types qualify for a 1031 exchange into a hotel?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,2,N,"IRS-sourced answer required, no invented rules",new — cluster not covered by prior 2026-05-10 sprint
What's the 1031 exchange timeline (45-day and 180-day rules) for a hotel purchase?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,2,N,Concrete IRS-sourced numbers,new — cluster not covered by prior 2026-05-10 sprint
How much cash do I need to buy a select-service hotel?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/financing-a-purchase,2,N,Concrete underwriting number,new — cluster not covered by prior 2026-05-10 sprint
What financing options exist for a first-time hotel buyer?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/financing-a-purchase,2,N,Bridges to loan-types cluster,new — cluster not covered by prior 2026-05-10 sprint
Should I buy an independent hotel or a branded hotel?,informational,compare,Buying a hotel / 1031,/buying-a-hotel,3,N,Trade-off framing,new — cluster not covered by prior 2026-05-10 sprint
What's the process for making an offer on a hotel?,informational,learn,Buying a hotel / 1031,/buying-a-hotel,2,N,Buyer-side mirror of the selling-a-hotel process cluster,new — cluster not covered by prior 2026-05-10 sprint
How do I find off-market hotel deals?,category,act,Buying a hotel / 1031,/services/acquisition-advisory,2,N,Buyer-representation service angle,new — cluster not covered by prior 2026-05-10 sprint
What's a reverse 1031 exchange and can I use one to buy a hotel before I sell?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,3,N,Niche but real long-tail question,new — cluster not covered by prior 2026-05-10 sprint
What are current hotel loan interest rates?,informational,learn,Hotel loan rates & terms,/rates,1,N,Direct match to Agent 8's new /rates route; the single highest-leverage citable page in the financing cluster,new; the /rates page is the single most citable original-data asset per Spec 5.1
"What loan terms (amortization, term length) are typical for hotel loans?",informational,learn,Hotel loan rates & terms,/rates,2,N,Sub-question under rate sheet,new; the /rates page is the single most citable original-data asset per Spec 5.1
Are SBA hotel loan rates fixed or variable?,informational,learn,Hotel loan rates & terms,/hotel-financing/sba-loans,2,N,SBA.gov-sourced answer,new; the /rates page is the single most citable original-data asset per Spec 5.1
How do hotel loan rates compare to other commercial real estate loan rates?,informational,compare,Hotel loan rates & terms,/rates,2,N,Comparison-table candidate (hotel vs. multifamily vs. office spreads),new; the /rates page is the single most citable original-data asset per Spec 5.1
What's the spread over Treasury/SOFR for a typical hotel loan today?,informational,learn,Hotel loan rates & terms,/rates,2,N,"Needs FRED/Treasury + lender-spread sourcing, dated",new; the /rates page is the single most citable original-data asset per Spec 5.1
Do hotel loan rates vary by brand or is it mostly about the borrower?,informational,learn,Hotel loan rates & terms,/rates,3,N,"Nuance question, good FAQ material",new; the /rates page is the single most citable original-data asset per Spec 5.1
What origination fees or points should I expect on a hotel loan?,informational,learn,Hotel loan rates & terms,/hotel-financing,3,N,Concrete cost question,new; the /rates page is the single most citable original-data asset per Spec 5.1
Are there any Hampton Inn hotels for sale in Austin right now?,local,act,Markets,/markets/austin-tx,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Dallas right now?,local,act,Markets,/markets/dallas-tx,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Houston right now?,local,act,Markets,/markets/houston-tx,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in San Antonio right now?,local,act,Markets,/markets/san-antonio-tx,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Nashville right now?,local,act,Markets,/markets/nashville-tn,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Atlanta right now?,local,act,Markets,/markets/atlanta-ga,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Charleston right now?,local,act,Markets,/markets/charleston-sc,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Savannah right now?,local,act,Markets,/markets/savannah-ga,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Charlotte right now?,local,act,Markets,/markets/charlotte-nc,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Phoenix right now?,local,act,Markets,/markets/phoenix-az,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Denver right now?,local,act,Markets,/markets/denver-co,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Miami right now?,local,act,Markets,/markets/miami-fl,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Tampa right now?,local,act,Markets,/markets/tampa-fl,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
Are there any Hampton Inn hotels for sale in Orlando right now?,local,act,Markets,/markets/orlando-fl,3,N,Cross-links Markets and Brand/PIP clusters; pattern F from prior sprint,"carried forward from query-universe.md pattern F, retargeted to existing /markets page which should list brand-flag inventory"
I financed my hotel at 3-4% in 2019-2021 and it's maturing into a 6-8% market — what do I do?,informational,learn,Refinance process,/hotel-financing/refinance-process,1,N,Real owner scenario from 2026 CMBS maturity wall; MBA data shows ~30% of hotel-backed loans mature in 2026 (source needed before publishing the exact %),new — added from WebSearch pass on real financing questions
What are my options if my hotel's appraised value has dropped since I bought it?,informational,learn,Refinance process,/hotel-financing/refinance-process,2,N,Values down 16-35% vs. 2019-2022 vintage per secondary source (Trailstead Capital) — verify before citing the range,new — added from WebSearch pass on real financing questions
How do I bridge my hotel loan until permanent financing is available?,informational,learn,Refinance process,/hotel-financing/refinance-process,2,N,Bridge-loan use case; ties to Loan types cluster,new — added from WebSearch pass on real financing questions
What should I be doing 12+ months before my hotel loan matures?,informational,learn,Refinance process,/hotel-financing/refinance-process,1,N,Checklist prompt; matches Spec 5.1 key-takeaways format well,new — added from WebSearch pass on real financing questions
Will a PIP deadline affect my ability to refinance my hotel?,informational,learn,Refinance process,/hotel-financing/refinance-process,2,N,Bridges Refinance and PIP clusters,new — added from WebSearch pass on real financing questions
What's a rate cap and do I need one to refinance my hotel?,informational,learn,Refinance process,/hotel-financing/refinance-process,3,N,Gap in research — no primary source found; verify with a lender before publishing an answer,new — added from WebSearch pass on real financing questions
What's the minimum down payment for an SBA loan on a hotel?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,1,N,"SBA 7(a) needs 10%+, 504 needs 10-20% per secondary sources (bridgemarketplace.com, nerdwallet.com) — verify against SBA.gov before publishing","new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
Can I get 100% financing on a hotel purchase?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,2,N,Rare SBA 7(a) case; needs SBA.gov primary sourcing before any specific claim,"new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
What rate can I get on a CMBS loan for a limited-service hotel right now?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,1,N,"Direct match to /rates page; needs Matthews' own current rate sheet as the source, not a scraped competitor number","new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
What do bridge loan rates look like for a hotel that needs to stabilize first?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,2,N,Ties to Loan types + Refinance clusters,"new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
Do life insurance companies lend on hotels?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,3,N,Gap in research — no direct primary source found; verify before publishing,"new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
What's the typical amortization schedule on a hotel loan?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,2,N,25-year cited for SBA in secondary source — verify against SBA.gov,"new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
How much loan-to-value can I get on a hotel refinance today versus in 2021?,informational,learn,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,2,N,"Needs a real, dated LTV comparison; do not invent the delta","new — added from WebSearch pass; several numbers here are UNVERIFIED, flag for Agent 5/10 before publishing"
What percentage of hotel loans are in special servicing right now?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,1,N,"Only found an all-CMBS blended figure (11.09%) in research, NOT hotel-specific — do not reuse a blended number as a hotel stat; needs Trepp's hotel-only figure",new — added from WebSearch pass
Why do hotel loans end up in special servicing?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,2,N,"Definitional: maturity default, weak DSCR, declining occupancy (commercialloandirect.com)",new — added from WebSearch pass
What happens after my hotel loan gets sent to special servicing?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,2,N,Owner-scenario follow-up question,new — added from WebSearch pass
Is my hotel at risk of maturity default?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,2,N,"Self-assessment framing; can reference a real named case (Hyatt Regency Jersey City, Commercial Observer, Oct 2026) as an example, not a generalized claim",new — added from WebSearch pass
What are lenders doing with distressed hotel loans instead of foreclosing?,informational,learn,Distress & maturities,/hotel-financing/loan-workouts,3,N,No hotel-specific primary source found in research — verify before publishing,new — added from WebSearch pass
What do I need to prepare before listing my hotel for sale?,informational,learn,Selling a hotel,/sell-a-hotel/documents-needed,2,N,"Operating statements, PIP status, title reports; 4-12 week prep window per secondary sources (loopnet.com, mews.com) — verify before citing weeks",new — added from WebSearch pass
How long does due diligence take once I have a buyer for my hotel?,informational,learn,Selling a hotel,/sell-a-hotel/documents-needed,2,N,60-120 days incl. financing + franchise transfer per secondary sources — verify before citing,new — added from WebSearch pass
Should I sell my hotel confidentially or list it publicly?,informational,learn,Selling a hotel,/sell-a-hotel/documents-needed,2,N,"Trade-off framing question, good FAQ candidate",new — added from WebSearch pass
What documents does a buyer need from me during hotel due diligence?,informational,learn,Selling a hotel,/sell-a-hotel/documents-needed,2,N,Overlaps Deal docs & underwriting cluster,new — added from WebSearch pass
How do I figure out what my hotel is actually worth?,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,1,N,NOI / cap rate is the core formula; competitor etonvs.com runs an embedded calculator on this exact query — worked-example page can out-answer it,new — added from WebSearch pass
Why did my hotel's value drop even though NOI held up?,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,2,N,"Cap rate expansion explanation (HVS 'Adjusting to a New Reality') — cite HVS directly, don't restate their number as ours",new — added from WebSearch pass
What's the difference between valuing a hotel and valuing an apartment building?,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,3,N,Going-concern/business-value component is the differentiator (EHL academic source),new — added from WebSearch pass
Is RevPAR or NOI more important for hotel valuation?,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,2,N,Ties existing /glossary/revpar to the valuation hub,new — added from WebSearch pass
What do appraisers look at that a broker's opinion of value doesn't?,informational,learn,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,2,Y,Directly extends existing /glossary/bov page — no external research needed,new — added from WebSearch pass
What's the difference between a hotel broker and a hotel advisor?,informational,compare,Choosing a broker,/services/investment-sales,2,N,"Execution vs. decision-layer framing; a Robert J. Webster piece on this exact question is syndicated across hospitalitynet.org, cbre.com, and hotel-online.com — the dominant current answer to beat",new — added from WebSearch pass
How do I know if my hotel broker is actually working for me?,informational,compare,Choosing a broker,/services/investment-sales,3,N,"Trust-framing question, good FAQ candidate",new — added from WebSearch pass
Should I worry my broker won't show me every available deal?,informational,compare,Choosing a broker,/services/investment-sales,3,N,Buyer-side trust question,new — added from WebSearch pass
Is there a broker who will tell me to hold my hotel instead of selling it?,informational,compare,Choosing a broker,/services/investment-sales,2,N,Unique-angle FAQ; genuinely differentiable if the team will actually say this,new — added from WebSearch pass
What financials should I ask for before underwriting a hotel deal?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,1,N,"T-12 minimum, ideally 3 years of P&L, balance sheets, tax returns per bridgemarketplace.com — verify exact document list before publishing",new — added from WebSearch pass
What's actually in a hotel CIM that's different from a regular commercial real estate OM?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,2,N,"STR comp-set data, RevPAR index/MPI/ARI/RGI, demand segmentation, PIP details — a real structural difference worth explaining",new — added from WebSearch pass
What are red flags in a hotel offering memorandum?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,2,N,"Pro forma vs. trailing NOI, excluded reserves, T-12 mismatches (proprise.ai) — reframe in our own words, don't restate their examples as facts about our own deals",new — added from WebSearch pass
Why is a broker's OM always rosier than reality?,informational,learn,Deal docs & underwriting,/services/acquisition-advisory,3,N,Candid-framing FAQ; ties to trust cluster,new — added from WebSearch pass
"What's an MPI, ARI, and RGI, and why do they matter for a hotel deal?",informational,learn,Deal docs & underwriting,/services/acquisition-advisory,2,N,"Definitional; strong glossary-expansion candidate beyond the current six terms (adr, bov, cap-rate, iom, pip, revpar)",new — added from WebSearch pass
How often do I have to do a PIP on a branded hotel?,informational,learn,Brand/PIP/conversion,/glossary/pip,2,Y,Every 5-7 years cited across sources — verify against a specific brand's franchise disclosure before publishing a number,new — added from WebSearch pass
How long do I have to complete a PIP once I get the notice?,informational,learn,Brand/PIP/conversion,/glossary/pip,2,N,12-18 months cited across sources — verify before publishing,new — added from WebSearch pass
Is it worth converting my hotel to a different brand?,informational,learn,Brand/PIP/conversion,/glossary/pip,3,N,A Cornell CHR study (~+6% occupancy/+4% RevPAR/+3% GOP) is cited secondhand across sources — DO NOT cite until the actual Cornell report is located and verified,new — added from WebSearch pass
What's the actual difference between a hotel brand and a hotel franchise?,informational,learn,Brand/PIP/conversion,/glossary/pip,3,N,Definitional (hospitalitynet.org),new — added from WebSearch pass
How fast can I convert my hotel to a new brand versus building new?,informational,learn,Brand/PIP/conversion,/glossary/pip,3,N,"The ~6-month claim found is IHG-sourced/promotional — do not restate as neutral fact; note the source is the franchisor, not independent",new — added from WebSearch pass
Does having an open PIP kill my deal if I'm trying to sell?,informational,learn,Brand/PIP/conversion,/glossary/pip,2,N,Direct extension of existing /glossary/pip page,new — added from WebSearch pass
Can I 1031 exchange out of an apartment building into a hotel?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,1,N,Like-kind rules apply broadly to real property since 2018 TCJA; verify against apiexchange.com/1031ex.com and IRS guidance before publishing specifics,new — added from WebSearch pass
Does the FF&E in a hotel deal qualify for 1031 exchange treatment?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,2,N,Personal-property components generally do NOT qualify — corrects a common misconception; high citation value if sourced to IRS/qualified intermediary guidance,new — added from WebSearch pass
Do I need a CPA or a qualified intermediary to do a 1031 exchange into a hotel?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,2,N,Practical how-to question,new — added from WebSearch pass
Can I 1031 exchange into a hotel and then convert it to a different brand?,informational,learn,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,3,N,"Original-angle question bridging 1031 and PIP/conversion clusters; not directly sourced in research, treat as our own synthesis",new — added from WebSearch pass
Get me a broker opinion of value on my 92-room Holiday Inn Express.,transactional,act,Brand (Matthews),/contact,1,Y,Direct BOV request; existing contact flow is the correct CTA,new — transactional prompts reconstructed to match brief's category 69-73 (act-stage requests directly to Matthews)
I want to list my hotel for sale with Matthews Hotel Markets.,transactional,act,Brand (Matthews),/contact,1,Y,Direct listing request; existing contact flow,new — transactional prompts reconstructed to match brief's category 69-73 (act-stage requests directly to Matthews)
Schedule a call with the Matthews Hotel Markets team about refinancing my hotel.,transactional,act,Brand (Matthews),/contact,1,Y,Direct scheduling request,new — transactional prompts reconstructed to match brief's category 69-73 (act-stage requests directly to Matthews)
Send me Matthews Hotel Markets' current hotel loan rate sheet.,transactional,act,Brand (Matthews),/rates,1,N,Direct match to Agent 8's new /rates page,new — transactional prompts reconstructed to match brief's category 69-73 (act-stage requests directly to Matthews)
Connect me with Matthews Hotel Markets' Austin office about a hotel acquisition.,transactional,act,Brand (Matthews),/offices/austin,2,Y,Existing office page with real address,new — transactional prompts reconstructed to match brief's category 69-73 (act-stage requests directly to Matthews)
I need a hotel broker to represent me as a buyer for a portfolio deal.,transactional,act,Brand (Matthews),/services/acquisition-advisory,1,N,Existing service page as CTA target,new — transactional prompts reconstructed to match brief's category 69-73 (act-stage requests directly to Matthews)
